City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,seminole,28.7086,-81.2081,17.45,42,0,3.09,US,1733177262
270,shahpur,16.7,76.8333,22.16,94,89,3.12,IN,1733177264
271,tinaan,11.2667,123.75,27.82,79,98,3.1,PH,1733177265
272,kamaishi,39.2667,141.8833,6.98,82,35,3.23,JP,1733177266
273,marion,39.7684,-86.1555,-3.72,85,100,3.09,US,1733177014
274,gwanda,-20.9333,29.0,24.1,29,11,4.11,ZW,1733177268
275,puerto baquerizo moreno,-0.9,-89.6,25.55,69,75,5.14,EC,1733176971
276,duba,27.3513,35.6901,21.98,44,1,2.42,SA,1733177270
277,bazarak,35.3129,69.5152,-2.62,75,82,3.33,AF,1733177272
278,bereznik,62.8551,42.7072,0.2,83,69,3.99,RU,1733177273
279,qarqaraly,49.4058,75.4742,-15.13,96,46,2.38,KZ,1733177274
280,chipiona,36.7366,-6.437,18.27,85,36,2.39,ES,1733177176
281,hirara,24.8,125.2833,23.11,62,2,8.08,JP,1733177276
282,fisterra,42.9049,-9.2629,12.96,78,99,5.76,ES,1733177277
283,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,65,75,2.0,RU,1733177278
284,moab,38.5733,-109.5498,8.05,56,26,1.31,US,1733177280
285,guerrero negro,27.9769,-114.0611,21.58,48,84,5.2,MX,1733177281
286,saudarkrokur,65.7461,-19.6394,-1.77,76,100,4.68,IS,1733177282
287,weihai,37.5017,122.1136,1.59,52,100,1.86,CN,1733177283
288,muisne,0.6,-80.0333,24.58,79,83,5.09,EC,1733177284
289,isangel,-19.55,169.2667,28.06,83,20,4.12,VU,1733177267
290,balaklava,44.5,33.6,6.88,57,2,1.35,UA,1733177145
291,hilo,19.7297,-155.09,26.85,76,100,4.63,US,1733177289
292,ilhabela,-23.7781,-45.3581,24.85,91,100,0.91,BR,1733177092
293,tafuna,-14.3358,-170.72,30.97,74,40,6.17,AS,1733177291
294,kiruna,67.8557,20.2251,-9.49,67,9,5.14,SE,1733177292
295,turki,51.987,43.2731,-0.47,97,100,3.27,RU,1733177295
296,tevriz,57.509,72.4042,-4.96,96,100,2.63,RU,1733177296
297,bicester,51.9,-1.1536,7.03,93,100,2.57,GB,1733177119
298,al ghayzah,16.2079,52.176,23.52,61,32,2.23,YE,1733177298
299,vila velha,-20.3297,-40.2925,27.97,80,0,7.2,BR,1733177299
300,hobyo,5.3505,48.5268,26.22,68,34,8.04,SO,1733177174
301,aioun,16.6614,-9.6149,23.15,11,74,5.17,MR,1733177301
302,cole harbour,44.6724,-63.4751,0.53,74,50,2.24,CA,1733177303
303,aykhal,66.0,111.5,-27.07,81,20,4.02,RU,1733177304
304,chinde,26.8212,87.7095,14.45,64,0,3.01,NP,1733177305
305,sinop,41.7711,34.8709,1.28,75,3,4.02,TR,1733177306
306,ust-tsilma,65.441,52.1498,2.76,99,100,5.64,RU,1733177307
307,whangarei,-35.7317,174.3239,23.2,41,94,1.96,NZ,1733177234
308,zheshart,62.0731,49.5733,1.72,88,100,5.12,RU,1733177311
309,lodja,-3.4833,23.4333,20.62,98,25,0.3,CD,1733177312
310,shchyolkino,45.4291,35.8223,4.08,80,5,5.55,UA,1733177313
311,skagen,57.7209,10.5839,7.48,85,63,8.42,DK,1733177314
312,balaipungut,1.05,101.2833,22.67,97,100,1.13,ID,1733177315
313,saint-philippe,-21.3585,55.7679,23.96,81,36,5.1,RE,1733177316
314,roma,43.2128,-75.4557,-1.46,82,100,2.57,US,1733177163
315,shalqar,47.8333,59.6,-2.1,71,100,2.14,KZ,1733177319
316,santa maria,-29.6842,-53.8069,20.94,64,7,1.75,BR,1733177320
317,hammerfest,70.6634,23.6821,-2.75,100,100,6.17,NO,1733177321
318,arteche,12.2645,125.4048,26.02,91,99,2.96,PH,1733177322
319,boende,-0.2167,20.8667,23.37,81,47,1.06,CD,1733177323
320,salekhard,66.53,66.6019,-10.12,96,100,2.84,RU,1733177324
321,tabuk,17.4189,121.4443,23.08,98,100,0.96,PH,1733177326
322,kavaratti,10.5669,72.642,27.44,73,87,7.46,IN,1733177327
323,keyser,39.4409,-78.9739,-0.42,67,75,0.89,US,1733177166
324,shingu,33.7333,135.9833,11.06,85,0,2.63,JP,1733177329
325,weno,7.4515,151.8468,28.8,78,53,3.56,FM,1733177330
326,abepura,-2.6333,140.5833,27.45,83,40,2.06,ID,1733177234
327,hola,51.5377,23.1902,1.36,92,2,2.92,PL,1733177332
328,aneho,6.2333,1.6,27.1,80,0,4.82,TG,1733177334
329,baker city,44.7749,-117.8344,6.36,49,21,1.57,US,1733177335
330,cabedelo,-6.9811,-34.8339,27.37,81,7,6.86,BR,1733177145
331,kostanay,53.1667,63.5833,-9.59,96,23,2.83,KZ,1733177337
332,i-n-salah,27.1935,2.4607,16.44,24,100,5.42,DZ,1733177338
333,shiqian,27.5225,108.2281,13.61,88,100,0.93,CN,1733177339
334,antsiranana,-12.2787,49.2917,23.65,92,100,3.45,MG,1733177340
335,mhango,-3.2833,32.85,19.89,86,96,0.75,TZ,1733177342
336,sao felix do xingu,-6.6447,-51.995,28.33,58,99,0.32,BR,1733177245
337,kedougou,12.5579,-12.1743,25.46,24,67,1.08,SN,1733177344
338,north bend,43.4065,-124.2243,11.76,71,0,2.57,US,1733177345
339,carauari,-4.8828,-66.8958,29.53,67,97,0.76,BR,1733177346
340,acapulco de juarez,16.8634,-99.8901,28.9,70,20,2.57,MX,1733177281
341,senador guiomard,-10.1522,-67.7392,31.93,46,100,1.43,BR,1733177349
342,baharly,38.4362,57.4316,4.26,68,21,2.86,TM,1733177350
343,ardestan,33.3761,52.3694,2.88,41,50,1.22,IR,1733177351
344,stary krym,45.0333,35.1,-0.43,91,6,1.13,UA,1733177352
345,dubrovnik,42.6481,18.0922,10.8,62,0,4.12,HR,1733177353
346,lesnoy,57.6198,63.0784,-1.27,90,100,4.71,RU,1733177354
347,masterton,-40.9597,175.6575,22.35,51,99,5.34,NZ,1733177355
348,kanggye,40.9695,126.5852,-12.57,89,12,1.35,KP,1733177354
349,marly,50.3456,3.5496,6.97,93,18,4.21,FR,1733177152
350,carnarvon,-24.8667,113.6333,20.6,71,0,5.88,AU,1733177359
351,weiser,44.251,-116.9693,1.11,40,67,0.82,US,1733177360
352,tindouf,27.6711,-8.1474,16.84,32,0,3.68,DZ,1733177361
353,utrik,11.2278,169.8474,27.96,79,74,10.87,MH,1733177362
354,piton saint-leu,-21.2196,55.3151,22.06,73,20,2.06,RE,1733177363
355,amga,60.8953,131.9608,-27.21,98,98,1.13,RU,1733177364
356,francistown,-21.17,27.5079,25.21,21,0,3.31,BW,1733177366
357,alofi,-19.0595,-169.9187,26.94,89,75,1.54,NU,1733177367
358,papao,-17.75,-149.55,30.82,71,93,6.67,PF,1733177368
359,lazaro cardenas,17.9583,-102.2,27.95,66,2,3.76,MX,1733177077
360,ketchikan,55.3422,-131.6461,9.87,93,100,9.26,US,1733177370
361,miracema do tocantins,-9.5618,-48.3967,24.35,89,100,3.07,BR,1733177371
362,nikolayevsk-on-amure,53.1406,140.73,-6.7,95,100,2.87,RU,1733177314
363,zaozersk,69.4005,32.4476,-1.88,93,100,3.09,RU,1733177374
